id,member_key,date_of_birth,first_name,last_name,price_zone_code,u_disabilities,u_gender,SA1,SA2,SA3,SA4
5438,fca00460-3059-11eb-a567-836633b013f1,2002-07-31,Abbie,Norcutt,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
5551,ab72a050-39fc-11eb-8125-85919dee082c,2015-12-22,Abigail,Jelks,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
2508,afa63d20-d50d-11ea-8224-836b70d82925,1998-04-29,Addison,Simmank,ACT_NSW_QLD_VIC,"Bipolar disorder",Female,3124802,31248,30906,309
2511,afb46df0-d50d-11ea-8224-836b70d82925,1972-03-29,Adora,Pawson,NT_SA_TAS_WA,Amputee,Male,0,0,0,0
5646,eaad71b0-4342-11eb-b7c9-a79931f0625a,2008-11-28,Adriana,Postance,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
3107,5c89b960-dce6-11ea-812e-09cdf4382371,1980-06-03,Aeriela,Touzey,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
2687,b3019d20-d50d-11ea-8224-836b70d82925,2008-05-06,Ailee,Doxey,ACT_NSW_QLD_VIC,,Male,7102304,71023,70102,701
4217,04749100-e78b-11ea-8ae0-713eb2282c5f,1999-10-10,Alasdair,Yanson,ACT_NSW_QLD_VIC,"Intellectual disability",Male,5109817,51098,50503,505
5194,b75ddf30-1ef7-11eb-bbaf-211a1045b5f9,1998-11-09,Albertine,Combes,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
3393,d668fa80-dcef-11ea-a5ac-61abce895864,2011-12-20,Aldric,Colmore,ACT_NSW_QLD_VIC,,Male,3103214,31032,30202,302
607,bbde5900-c7e9-11ea-80e0-3df355beb07c,2001-01-06,Aleece,Clemas,ACT_NSW_QLD_VIC,,Male,3111220,31112,30501,305
3909,0415c530-e588-11ea-b453-3de7750d4ba6,1999-03-10,Alexa,Klees,ACT_NSW_QLD_VIC,,Female,0,0,0,0
5953,c05731f0-61ef-11eb-954a-a97dfb24eddc,1982-09-17,Alfonse,Clemente,ACT_NSW_QLD_VIC,,Female,1141015,11410,12103,121
4694,a8350660-00b5-11eb-9919-ed82cebb87ca,2010-11-15,Alfy,Springate,ACT_NSW_QLD_VIC,,Female,3124211,31242,30904,309
6393,216e5200-852e-11eb-a21c-27e76600cfca,2016-01-19,Alidia,Dilliway,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
4524,26fa5450-f8aa-11ea-ad24-4590fac688b2,1968-11-20,Alix,Conaghan,ACT_NSW_QLD_VIC,"Anxiety, Depression and Major back injur",Male,3124802,31248,30906,309
6449,bdca6780-8789-11eb-9a0a-e3c004116573,2012-09-28,Aliza,Worsham,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
1518,06bdc2d0-caf1-11ea-8835-c7fb3ff7d301,2013-05-28,Allen,Blowfield,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
23,1af00b90-b774-11ea-9e3d-035c0f0fc9d5,2007-11-04,Allis,Stickney,NT_SA_TAS_WA,,Male,3110926,31109,30501,305
