visaSubclass,age,english,educationalQualifications,specialEndorsement,financialAssets,businessTurnover,businessInnovationQualifications,overseasSkilledEmployment,australianSkilledEmployment,australianStudyRequirement,specialistEducationQualification,credentialledCommunityLanguage,studyInRegionalAustralia,partnerSkills,professionalYearInAustralia,nomination,businessInnovationStream,investorStream,firstName,lastName
1,1,0,2,0,0,0,4,3,4,0,1,1,0,2,0,1,1,-1,Melanie,Raama
4,0,1,1,,2,2,2,0,3,1,1,0,0,1,1,0,-1,-1,Carlie,O'Neill
2,6,-1,0,1,-1,3,1,3,4,1,0,1,0,2,1,-1,-1,,Teddie,Muriel
2,3,1,0,1,0,0,0,1,3,1,0,0,0,0,1,0,1,-1,Blinni,Kelula
0,6,-1,0,,3,,2,0,1,0,1,0,0,0,0,1,1,-1,Flo,Pierette
4,2,0,3,0,0,-1,1,0,0,0,0,1,1,0,1,-1,-1,-1,Natka,Terrence
1,4,-1,2,0,3,1,3,2,2,0,1,1,0,2,0,0,1,1,Brianna,Clie
2,5,-1,-1,1,2,0,-1,2,3,0,0,0,0,0,1,-1,,,Fredericka,Tengdin
3,1,-1,-1,,3,2,3,2,2,0,0,1,1,1,0,-1,1,1,Bee,Chapland
1,4,0,0,0,2,-1,3,0,3,1,1,0,1,0,0,0,-1,0,Christian,Cassius
1,6,0,-1,1,0,1,3,3,0,0,1,1,0,1,0,0,-1,,Mahalia,Karna
1,1,-1,3,,-1,-1,-1,2,3,0,0,0,0,2,1,-1,-1,-1,Sidoney,Serilda
3,5,2,2,1,,-1,2,3,4,0,1,0,0,0,0,1,-1,-1,Jasmina,Carbo
4,5,0,-1,1,1,,2,1,4,1,0,0,1,0,0,0,-1,0,Ethel,Wu
3,3,0,2,,0,0,0,1,2,1,1,1,1,1,1,1,,,Nonnah,Delila
4,3,-1,0,0,2,0,-1,2,1,0,0,1,0,0,0,1,0,1,Nikki,Drus
3,6,-1,0,,1,2,-1,1,4,0,1,1,0,0,0,1,1,0,Heddie,Francene
4,4,1,3,,-1,2,4,3,2,1,0,0,1,2,1,0,1,,Jillayne,Terencio
0,1,-1,1,,0,3,5,0,4,1,1,1,1,1,1,-1,-1,1,Hyacinthe,Tryck
3,2,0,2,1,-1,-1,6,0,3,1,1,0,0,0,0,0,-1,0,Brooks,Lynn
3,3,0,-1,1,1,3,2,1,0,1,1,0,0,0,0,-1,,0,Codie,Terrence
4,6,0,1,,1,3,6,3,1,1,0,1,1,2,1,0,0,-1,Angelique,Uund
